,TradingDateUtc,DeliveryDateUtc,SettlementClearing,delivery_period_name,Commodity,Region,Sub-Region
94,2014-01-23,2014-03-01,26.375,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
95,2014-01-23,2014-03-01,26.43,Month,Natural Gas,Germany,NCG (formerly EGT_H)
96,2014-01-24,2014-02-01,26.625,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
97,2014-01-24,2014-02-01,26.75,Month,Natural Gas,Germany,NCG (formerly EGT_H)
98,2014-01-24,2014-03-01,26.513,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
99,2014-01-24,2014-01-01,27.8,Month,Natural Gas,Germany,NCG (formerly EGT_H)
100,2014-01-24,2014-01-01,27.5,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
101,2014-01-24,2014-03-01,26.613,Month,Natural Gas,Germany,NCG (formerly EGT_H)
102,2014-01-27,2014-02-01,25.945,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
103,2014-01-27,2014-03-01,26.0,Month,Natural Gas,Germany,NCG (formerly EGT_H)
104,2014-01-27,2014-03-01,25.913,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
105,2014-01-27,2014-01-01,27.8,Month,Natural Gas,Germany,NCG (formerly EGT_H)
106,2014-01-27,2014-01-01,27.5,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
107,2014-01-27,2014-02-01,26.007,Month,Natural Gas,Germany,NCG (formerly EGT_H)
108,2014-01-28,2014-02-01,26.045,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
109,2014-01-28,2014-03-01,26.023,Month,Natural Gas,Germany,NCG (formerly EGT_H)
110,2014-01-28,2014-01-01,27.5,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
111,2014-01-28,2014-01-01,27.8,Month,Natural Gas,Germany,NCG (formerly EGT_H)
112,2014-01-28,2014-03-01,25.938,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
113,2014-01-28,2014-02-01,26.125,Month,Natural Gas,Germany,NCG (formerly EGT_H)
114,2014-01-29,2014-02-01,25.693,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
115,2014-01-29,2014-03-01,25.799,Month,Natural Gas,Germany,NCG (formerly EGT_H)
116,2014-01-29,2014-01-01,27.5,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
117,2014-01-29,2014-02-01,25.743,Month,Natural Gas,Germany,NCG (formerly EGT_H)
118,2014-01-29,2014-03-01,25.663,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
119,2014-01-29,2014-01-01,27.8,Month,Natural Gas,Germany,NCG (formerly EGT_H)
120,2014-01-30,2014-03-01,25.455,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
121,2014-01-30,2014-02-01,25.611,Month,Natural Gas,Germany,NCG (formerly EGT_H)
122,2014-01-30,2014-02-01,25.65,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
123,2014-01-30,2014-03-01,25.647,Month,Natural Gas,Germany,NCG (formerly EGT_H)
124,2014-01-31,2014-03-01,25.148,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
125,2014-01-31,2014-03-01,25.266,Month,Natural Gas,Germany,NCG (formerly EGT_H)
126,2014-01-31,2014-02-01,25.65,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
127,2014-01-31,2014-02-01,25.611,Month,Natural Gas,Germany,NCG (formerly EGT_H)
128,2014-02-03,2014-04-01,24.657,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
